,index,wins,losses,Total,Winning Percentage,NFL Wins,NFL Losses,NHL Wins,NHL Losses,MLB Wins,MLB Losses,Basketball Wins,Basketball Losses,NFL Winning Years,NFL Losing Years,Basketball Winning Years,Basketball Losing Years,NHL Winning Years,NHL Losing Years,MLB Winning Years,MLB Losing Years
0,Anaheim,2.0,1.0,3.0,0.6666666666666666,0,0,1,1,1,0,0,0,None,None,None,None,2007,2003,2002,None
1,Atlanta,2.0,6.0,8.0,0.25,0,2,0,0,2,4,0,0,None,"1999,2017",None,None,None,None,"2021,1995","1999,1996,1992,1991"
2,Baltimore,7.0,5.0,12.0,0.5833333333333334,3,1,0,0,3,3,1,1,"1971,2001,2013",1969,1948,1971,None,None,"1983,1970,1966","1979,1971,1969"
3,Boston,39.0,29.0,68.0,0.5735294117647058,6,5,6,14,10,5,17,5,"2002,2004,2005,2015,2017,2019","1986,1997,2008,2012,2018","1957,1959,1960,1961,1962,1963,1964,1965,1966,1968,1969,1974,1976,1981,1984,1986,2008","1958,1985,1987,2010,2022","1929,1939,1941,1970,1972,2011","1927,1930,1943,1946,1953,1957,1958,1974,1977,1978,1988,1990,2013,2019","2018,2013,2007,2004,1918,1916,1915,1914,1912,1903","1986,1975,1967,1948,1946"
4,Brooklyn,1.0,8.0,9.0,0.1111111111111111,0,0,0,0,1,8,0,0,None,None,None,None,None,None,1955,"1956,1953,1952,1949,1947,1941,1920,1916"
5,Buffalo,0.0,6.0,6.0,0.0,0,4,0,2,0,0,0,0,None,"1991,1992,1993,1994",None,None,None,"1975,1999",None,None
6,Calgary,1.0,2.0,3.0,0.3333333333333333,0,0,1,2,0,0,0,0,None,None,None,None,1989,"1986,2004",None,None
7,Charlotte,1.0,3.0,4.0,0.25,0,2,1,1,0,0,0,0,None,"2004,2016",None,None,2006,2002,None,None
8,Chicago,19.0,19.0,38.0,0.5,1,1,6,7,6,10,6,1,1986,2007,"1991,1992,1993,1996,1997,1998",1947,"1934,1938,1961,2010,2013,2015","1931,1944,1962,1965,1971,1973,1992","2016,2005,1917,1908,1907,1906","1959,1945,1938,1935,1932,1929,1919,1918,1910,1906"
9,Cincinnati,5.0,7.0,12.0,0.4166666666666667,0,3,0,0,5,4,0,0,None,"1982,1989,2022",None,None,None,None,"1990,1976,1975,1940,1919","1972,1970,1961,1939"
10,Cleveland,3.0,8.0,11.0,0.2727272727272727,0,0,0,0,2,4,1,4,None,None,2016,"2007,2015,2017,2018",None,None,"1948,1920","2016,1997,1995,1954"
11,Colorado,3.0,1.0,4.0,0.75,0,0,3,0,0,1,0,0,None,None,None,None,"1996,2001,2022",None,None,2007
12,Dallas,7.0,8.0,15.0,0.4666666666666667,5,3,1,2,0,2,1,1,"1972,1978,1993,1994,1996","1971,1976,1979",2011,2006,1999,"2000,2020",None,"2011,2010"
13,Denver,3.0,5.0,8.0,0.375,3,5,0,0,0,0,0,0,"1998,1999,2016","1978,1987,1988,1990,2014",None,None,None,None,None,None
14,Detroit,18.0,22.0,40.0,0.45,0,0,11,13,4,7,3,2,None,None,"1989,1990,2004","1988,2005","1936,1937,1943,1950,1952,1954,1955,1997,1998,2002,2008","1934,1941,1942,1945,1948,1949,1956,1961,1963,1964,1966,1995,2009","1984,1968,1945,1935","2012,2006,1940,1934,1909,1908,1907"
15,Edmonton,5.0,2.0,7.0,0.7142857142857143,0,0,5,2,0,0,0,0,None,None,None,None,"1984,1985,1987,1988,1990","1983,2006",None,None
16,Fort Wayne,0.0,2.0,2.0,0.0,0,0,0,0,0,0,0,2,None,None,None,"1955,1956",None,None,None,None
17,Green Bay,4.0,1.0,5.0,0.8,4,1,0,0,0,0,0,0,"1967,1968,1997,2011",1998,None,None,None,None,None,None
18,Houston,3.0,5.0,8.0,0.375,0,0,0,0,1,3,2,2,None,None,"1994,1995","1981,1986",None,None,2017,"2021,2019,2005"
19,Indianapolis,1.0,2.0,3.0,0.3333333333333333,1,1,0,0,0,0,0,1,2007,2010,None,2000,None,None,None,None
20,Kansas City,4.0,4.0,8.0,0.5,2,2,0,0,2,2,0,0,"1970,2020","1967,2021",None,None,None,None,"2015,1985","2014,1980"
21,Los Angeles,22.0,23.0,45.0,0.4888888888888889,2,2,2,1,6,6,12,14,"1984,2022","1980,2019","1972,1980,1982,1985,1987,1988,2000,2001,2002,2009,2010,2020","1962,1963,1965,1966,1968,1969,1970,1973,1983,1984,1989,1991,2004,2008","2012,2014",1993,"2020,1988,1981,1965,1963,1959","2018,2017,1978,1977,1974,1966"
