,YEAR,WINNER,LOSER,LEAGUE
0,2021,Atlanta ,Houston ,MLB
1,2020,Los Angeles ,Tampa Bay ,MLB
2,2019,Washington ,Houston ,MLB
3,2018,Boston ,Los Angeles ,MLB
4,2017,Houston ,Los Angeles ,MLB
5,2016,Chicago ,Cleveland ,MLB
6,2015,Kansas City ,New York ,MLB
7,2014,San Francisco ,Kansas City ,MLB
8,2013,Boston ,St. Louis ,MLB
9,2012,San Francisco ,Detroit ,MLB
10,2011,St. Louis ,Dallas,MLB
11,2010,San Francisco ,Dallas,MLB
12,2009,New York ,Philadelphia ,MLB
13,2008,Philadelphia ,Tampa Bay ,MLB
14,2007,Boston ,Colorado ,MLB
15,2006,St. Louis ,Detroit ,MLB
16,2005,Chicago ,Houston ,MLB
17,2004,Boston ,St. Louis ,MLB
18,2003,Miami,New York ,MLB
19,2002,Anaheim ,San Francisco ,MLB
20,2001,Phoenix,New York ,MLB
21,2000,New York ,New York ,MLB
22,1999,New York ,Atlanta ,MLB
23,1998,New York ,San Diego ,MLB
24,1997,Miami,Cleveland ,MLB
25,1996,New York ,Atlanta ,MLB
26,1995,Atlanta ,Cleveland ,MLB
27,No World Series held in 1994 due to players' strike,,,MLB
28,1993,Toronto ,Philadelphia ,MLB
29,1992,Toronto ,Atlanta ,MLB
30,1991,Minneapolis,Atlanta ,MLB
31,1990,Cincinnati ,Oakland ,MLB
32,1989,Oakland ,San Francisco ,MLB
33,1988,Los Angeles ,Oakland ,MLB
34,1987,Minneapolis,St. Louis ,MLB
35,1986,New York ,Boston ,MLB
36,1985,Kansas City ,St. Louis ,MLB
37,1984,Detroit ,San Diego ,MLB
38,1983,Baltimore ,Philadelphia ,MLB
39,1982,St. Louis ,Milwaukee ,MLB
40,1981,Los Angeles ,New York ,MLB
41,1980,Philadelphia ,Kansas City ,MLB
42,1979,Pittsburgh ,Baltimore ,MLB
43,1978,New York ,Los Angeles ,MLB
44,1977,New York ,Los Angeles ,MLB
45,1976,Cincinnati ,New York ,MLB
46,1975,Cincinnati ,Boston ,MLB
47,1974,Oakland ,Los Angeles ,MLB
48,1973,Oakland ,New York ,MLB
49,1972,Oakland ,Cincinnati ,MLB
50,1971,Pittsburgh ,Baltimore ,MLB
51,1970,Baltimore ,Cincinnati ,MLB
52,1969,New York ,Baltimore ,MLB
53,1968,Detroit ,St. Louis ,MLB
54,1967,St. Louis ,Boston ,MLB
55,1966,Baltimore ,Los Angeles ,MLB
56,1965,Los Angeles ,Minneapolis,MLB
57,1964,St. Louis ,New York ,MLB
58,1963,Los Angeles ,New York ,MLB
59,1962,New York ,San Francisco ,MLB
60,1961,New York ,Cincinnati ,MLB
61,1960,Pittsburgh ,New York ,MLB
62,1959,Los Angeles ,Chicago ,MLB
63,1958,New York ,Milwaukee ,MLB
64,1957,Milwaukee ,New York ,MLB
65,1956,New York ,Brooklyn ,MLB
66,1955,Brooklyn ,New York ,MLB
67,1954,New York ,Cleveland ,MLB
68,1953,New York ,Brooklyn ,MLB
69,1952,New York ,Brooklyn ,MLB
